Glober email,Glober,Legal ID,Current Skill,Current Seniority,Client Tag,Client,Project Tag,Project,Starting Date,End Date,Percentage,Current Location,Current TL,All Locations,Current PMs,Current PA,PMs History,Current DDs,Assignment Type,Comments,Project Studio,Glober Studio/BU,Glober Office,DDs History,Business Unit Tag,Business Unit Name,Replacement reason,Organizational Unit Type,Billable,Organizational Unit de SAP,Organizational Unit SAP last,Entry Date,Organizational Unit de SAP,Organizational Unit SAP last,Entry Date
user2@mail,User197,11,UX,Arq,CLI4,Black and Decker,CLA059,Web B&D,6/8/2015,12/31/20,13,AR/CB1,Virginia Dala,AR/CB5,Gustavo Ara,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio3,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit4,No,Dev126,Development,8/25/14,,,
user3@mail,User198,12,Java Developer,Jr. adv,CLI5,Black and Decker,CLA056,Web B&D,6/8/2015,12/31/20,23,AR/CB1,Virginia Dala,AR/CB2,Gustavo Ara,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio3,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14,,,
user4@mail,User264,13,Business Analyst,Sr,CLI3,Black and Decker,CLA057,Web B&D,6/8/2015,12/31/20,12,AR/CB1,Virginia Dala,AR/CB3,Gustavo Ara,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio3,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14,,,
user5@mail,User265,14,UX,Arq,CLI4,Black and Decker,CLA058,Web B&D,6/8/2015,12/31/20,49,AR/CB1,Virginia Dala,AR/CB4,Gustavo Ara,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio3,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit4,No,Dev126,Development,8/25/14,,,
user1@mail,User266,15,Java Developer,Jr. adv,CLI5,Black and Decker,CLA059,Web B&D,6/8/2015,12/31/20,57,AR/CB1,Virginia Dala,AR/CB5,Gustavo Ara,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio3,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14,,,
user2@mail,User267,16,SQL Developer,Jr,CLI2,Black and Decker,CLA056,Web B&D,6/8/2015,12/31/20,84,AR/CB1,Virginia Dala,AR/CB2,Gustavo Ara,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio3,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14,,,
user3@mail,User333,17,Java Developer,Jr. adv,CLI5,Black and Decker,CLA057,Web B&D,6/8/2015,12/31/20,42,AR/CB1,Virginia Dala,AR/CB3,Gustavo Ara,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio3,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14,,,
user4@mail,User334,18,Web Mobile Developer,SSr,CLI1,Black and Decker,CLA058,Web B&D,6/8/2015,12/31/20,76,AR/CB1,Virginia Dala,AR/CB4,Gustavo Ara,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio3,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit1,No,Dev123,Development,8/25/14,,,
user5@mail,User335,19,SQL Developer,Jr,CLI2,Black and Decker,CLA059,Web B&D,6/8/2015,12/31/20,5,AR/CB1,Virginia Dala,AR/CB5,Gustavo Ara,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio3,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14,,,
user1@mail,User336,20,Business Analyst,Sr,CLI3,Black and Decker,CLA056,Web B&D,6/8/2015,12/31/20,70,AR/CB1,Virginia Dala,AR/CB2,Gustavo Ara,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio3,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14,,,
user2@mail,User402,21,SQL Developer,Jr,CLI2,Black and Decker,CLA057,Web B&D,6/8/2015,12/31/20,81,AR/CB1,Virginia Dala,AR/CB3,Gustavo Ara,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio3,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14,,,
user3@mail,User403,22,Business Analyst,Sr,CLI3,Black and Decker,CLA058,Web B&D,6/8/2015,12/31/20,96,AR/CB1,Virginia Dala,AR/CB4,Gustavo Ara,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio3,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14,,,
user4@mail,User404,23,UX,Arq,CLI4,Black and Decker,CLA059,Web B&D,6/8/2015,12/31/20,75,AR/CB1,Virginia Dala,AR/CB5,Gustavo Ara,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio3,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit4,No,Dev126,Development,8/25/14,,,
user5@mail,User405,24,Java Developer,Jr. adv,CLI5,Black and Decker,CLA056,Web B&D,6/8/2015,12/31/20,90,AR/CB1,Virginia Dala,AR/CB2,Gustavo Ara,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio3,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14,,,
user1@mail,User471,25,Business Analyst,Sr,CLI3,Black and Decker,CLA057,Web B&D,6/8/2015,12/31/20,77,AR/CB1,Virginia Dala,AR/CB3,Gustavo Ara,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio3,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14,,,
user2@mail,User472,26,UX,Arq,CLI4,Black and Decker,CLA058,Web B&D,6/8/2015,12/31/20,52,AR/CB1,Virginia Dala,AR/CB4,Gustavo Ara,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio3,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit4,No,Dev126,Development,8/25/14,,,
user3@mail,User473,27,Java Developer,Jr. adv,CLI5,Black and Decker,CLA059,Web B&D,6/8/2015,12/31/20,88,AR/CB1,Virginia Dala,AR/CB5,Gustavo Ara,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio3,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14,,,
user4@mail,User474,28,SQL Developer,Jr,CLI2,Black and Decker,CLA056,Web B&D,6/8/2015,12/31/20,40,AR/CB1,Virginia Dala,AR/CB2,Gustavo Ara,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio3,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14,,,
user2@mail,User42,29,SQL Developer,Jr,CLI2,Cognizant,CLA056,Cogni Go,6/8/2015,12/31/20,88,AR/CB1,Jorge Gomez,AR/CB2,Mario Almda,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio1,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14,,,
user3@mail,User43,30,Business Analyst,Sr,CLI3,Cognizant,CLA056,Cogni Go,6/8/2015,12/31/20,16,AR/CB1,Jorge Gomez,AR/CB3,Mario Almda,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio1,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14,,,
user5@mail,User70,31,Business Analyst,Sr,CLI3,Cognizant,CLA056,Cogni Go,6/8/2015,12/31/20,22,AR/CB1,Jorge Gomez,AR/CB2,Mario Almda,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio1,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14,,,
user1@mail,User71,32,UX,Arq,CLI4,Cognizant,CLA056,Cogni Go,6/8/2015,12/31/20,90,AR/CB1,Jorge Gomez,AR/CB3,Mario Almda,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio1,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit4,No,Dev126,Development,8/25/14,,,
user4@mail,User139,33,UX,Arq,CLI4,Cognizant,CLA056,Cogni Go,6/8/2015,12/31/20,46,AR/CB1,Jorge Gomez,AR/CB2,Mario Almda,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio1,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit4,No,Dev126,Development,8/25/14,,,
user5@mail,User140,34,Java Developer,Jr. adv,CLI5,Cognizant,CLA056,Cogni Go,6/8/2015,12/31/20,58,AR/CB1,Jorge Gomez,AR/CB3,Mario Almda,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio1,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14,,,
user3@mail,User208,35,Web Mobile Developer,SSr,CLI1,Cognizant,CLA056,Cogni Go,6/8/2015,12/31/20,8,AR/CB1,Jorge Gomez,AR/CB2,Mario Almda,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio1,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit1,No,Dev123,Development,8/25/14,,,
user4@mail,User209,36,SQL Developer,Jr,CLI2,Cognizant,CLA056,Cogni Go,6/8/2015,12/31/20,39,AR/CB1,Jorge Gomez,AR/CB3,Mario Almda,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio1,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14,,,
user2@mail,User277,37,Business Analyst,Sr,CLI3,Cognizant,CLA056,Cogni Go,6/8/2015,12/31/20,88,AR/CB1,Jorge Gomez,AR/CB2,Mario Almda,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio1,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14,,,
user3@mail,User278,38,UX,Arq,CLI4,Cognizant,CLA056,Cogni Go,6/8/2015,12/31/20,89,AR/CB1,Jorge Gomez,AR/CB3,Mario Almda,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio1,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit4,No,Dev126,Development,8/25/14,,,
user1@mail,User346,39,UX,Arq,CLI4,Cognizant,CLA056,Cogni Go,6/8/2015,12/31/20,72,AR/CB1,Jorge Gomez,AR/CB2,Mario Almda,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio1,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit4,No,Dev126,Development,8/25/14,,,
user2@mail,User347,40,Java Developer,Jr. adv,CLI5,Cognizant,CLA056,Cogni Go,6/8/2015,12/31/20,14,AR/CB1,Jorge Gomez,AR/CB3,Mario Almda,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio1,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14,,,
user5@mail,User415,41,Web Mobile Developer,SSr,CLI1,Cognizant,CLA056,Cogni Go,6/8/2015,12/31/20,56,AR/CB1,Jorge Gomez,AR/CB2,Mario Almda,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio1,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit1,No,Dev123,Development,8/25/14,,,
user1@mail,User416,42,SQL Developer,Jr,CLI2,Cognizant,CLA056,Cogni Go,6/8/2015,12/31/20,6,AR/CB1,Jorge Gomez,AR/CB3,Mario Almda,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio1,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14,,,
user4@mail,User484,43,Business Analyst,Sr,CLI3,Cognizant,CLA056,Cogni Go,6/8/2015,12/31/20,100,AR/CB1,Jorge Gomez,AR/CB2,Mario Almda,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio1,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14,,,
user5@mail,User485,44,UX,Arq,CLI4,Cognizant,CLA056,Cogni Go,6/8/2015,12/31/20,89,AR/CB1,Jorge Gomez,AR/CB3,Mario Almda,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio1,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit4,No,Dev126,Development,8/25/14,,,
user5@mail,User40,45,UX,Arq,CLI4,Cognizant,CLA056,Cogni Move,6/8/2015,12/31/20,42,AR/CB1,Juan Perez,AR/CB4,Mario Almda,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio1,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit4,No,Dev126,Development,8/25/14,,,
user1@mail,User41,46,Java Developer,Jr. adv,CLI5,Cognizant,CLA056,Cogni Move,6/8/2015,12/31/20,31,AR/CB1,Juan Perez,AR/CB5,Mario Almda,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio1,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14,,,
user2@mail,User72,47,Java Developer,Jr. adv,CLI5,Cognizant,CLA056,Cogni Move,6/8/2015,12/31/20,49,AR/CB1,Juan Perez,AR/CB4,Mario Almda,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio1,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14,,,
user3@mail,User73,48,Web Mobile Developer,SSr,CLI1,Cognizant,CLA056,Cogni Move,6/8/2015,12/31/20,97,AR/CB1,Juan Perez,AR/CB5,Mario Almda,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio1,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit1,No,Dev123,Development,8/25/14,,,
user1@mail,User141,49,SQL Developer,Jr,CLI2,Cognizant,CLA056,Cogni Move,6/8/2015,12/31/20,66,AR/CB1,Juan Perez,AR/CB4,Mario Almda,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio1,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14,,,
user2@mail,User142,50,Business Analyst,Sr,CLI3,Cognizant,CLA056,Cogni Move,6/8/2015,12/31/20,80,AR/CB1,Juan Perez,AR/CB5,Mario Almda,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio1,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14,,,
user5@mail,User210,51,Business Analyst,Sr,CLI3,Cognizant,CLA056,Cogni Move,6/8/2015,12/31/20,41,AR/CB1,Juan Perez,AR/CB4,Mario Almda,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio1,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14,,,
user1@mail,User211,52,UX,Arq,CLI4,Cognizant,CLA056,Cogni Move,6/8/2015,12/31/20,43,AR/CB1,Juan Perez,AR/CB5,Mario Almda,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio1,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit4,No,Dev126,Development,8/25/14,,,
user4@mail,User279,53,Java Developer,Jr. adv,CLI5,Cognizant,CLA056,Cogni Move,6/8/2015,12/31/20,33,AR/CB1,Juan Perez,AR/CB4,Mario Almda,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio1,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14,,,
user5@mail,User280,54,Web Mobile Developer,SSr,CLI1,Cognizant,CLA056,Cogni Move,6/8/2015,12/31/20,26,AR/CB1,Juan Perez,AR/CB5,Mario Almda,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio1,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit1,No,Dev123,Development,8/25/14,,,
user3@mail,User348,55,SQL Developer,Jr,CLI2,Cognizant,CLA056,Cogni Move,6/8/2015,12/31/20,16,AR/CB1,Juan Perez,AR/CB4,Mario Almda,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio1,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14,,,
user4@mail,User349,56,Business Analyst,Sr,CLI3,Cognizant,CLA056,Cogni Move,6/8/2015,12/31/20,42,AR/CB1,Juan Perez,AR/CB5,Mario Almda,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio1,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14,,,
user2@mail,User417,57,Business Analyst,Sr,CLI3,Cognizant,CLA056,Cogni Move,6/8/2015,12/31/20,24,AR/CB1,Juan Perez,AR/CB4,Mario Almda,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio1,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14,,,
user3@mail,User418,58,UX,Arq,CLI4,Cognizant,CLA056,Cogni Move,6/8/2015,12/31/20,62,AR/CB1,Juan Perez,AR/CB5,Mario Almda,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio1,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit4,No,Dev126,Development,8/25/14,,,
user1@mail,User486,59,Java Developer,Jr. adv,CLI5,Cognizant,CLA056,Cogni Move,6/8/2015,12/31/20,89,AR/CB1,Juan Perez,AR/CB4,Mario Almda,Pepo Alberto4,Pato Alberti4,Pepo Grosso4,ASSIGNED,,Studio4,AR/Studio1,AR/CBA/oficina4,Pepe gomez4,BUSST4,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14,,,
user2@mail,User487,60,Web Mobile Developer,SSr,CLI1,Cognizant,CLA056,Cogni Move,6/8/2015,12/31/20,65,AR/CB1,Juan Perez,AR/CB5,Mario Almda,Pepo Alberto5,Pato Alberti5,Pepo Grosso5,ASSIGNED,,Studio5,AR/Studio1,AR/CBA/oficina5,Pepe gomez5,BUSST5,Argentina,Position closed,Unit1,No,Dev123,Development,8/25/14,,,
user3@mail,User38,61,SQL Developer,Jr,CLI2,Cognizant,CLA056,Cogni Web,6/8/2015,12/31/20,1,AR/CB1,Carlos Sanchez,AR/CB2,Mario Almda,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio1,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14,,,
user4@mail,User39,62,Business Analyst,Sr,CLI3,Cognizant,CLA056,Cogni Web,6/8/2015,12/31/20,66,AR/CB1,Carlos Sanchez,AR/CB3,Mario Almda,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio1,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14,,,
user4@mail,User74,63,SQL Developer,Jr,CLI2,Cognizant,CLA056,Cogni Web,6/8/2015,12/31/20,7,AR/CB1,Carlos Sanchez,AR/CB2,Mario Almda,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio1,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit2,No,Dev124,Development,8/25/14,,,
user5@mail,User75,64,Business Analyst,Sr,CLI3,Cognizant,CLA056,Cogni Web,6/8/2015,12/31/20,4,AR/CB1,Carlos Sanchez,AR/CB3,Mario Almda,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio1,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit3,No,Dev125,Development,8/25/14,,,
user3@mail,User143,65,UX,Arq,CLI4,Cognizant,CLA056,Cogni Web,6/8/2015,12/31/20,74,AR/CB1,Carlos Sanchez,AR/CB2,Mario Almda,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio1,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit4,No,Dev126,Development,8/25/14,,,
user4@mail,User144,66,Java Developer,Jr. adv,CLI5,Cognizant,CLA056,Cogni Web,6/8/2015,12/31/20,67,AR/CB1,Carlos Sanchez,AR/CB3,Mario Almda,Pepo Alberto3,Pato Alberti3,Pepo Grosso3,ASSIGNED,,Studio3,AR/Studio1,AR/CBA/oficina3,Pepe gomez3,BUSST3,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14,,,
user2@mail,User212,67,Java Developer,Jr. adv,CLI5,Cognizant,CLA056,Cogni Web,6/8/2015,12/31/20,84,AR/CB1,Carlos Sanchez,AR/CB2,Mario Almda,Pepo Alberto2,Pato Alberti2,Pepo Grosso2,ASSIGNED,,Studio2,AR/Studio1,AR/CBA/oficina2,Pepe gomez2,BUSST2,Argentina,Position closed,Unit5,No,Dev127,Development,8/25/14,,,
